Date,Value
2010-01-31,100.0
2010-02-28,103.45327711469314
2010-03-31,114.17998801301665
2010-04-30,115.03360764181929
2010-05-31,110.89233768743271
2010-06-30,111.51526084292473
2010-07-31,114.63794925607247
2010-08-31,115.45485422251976
2010-09-30,128.53319993119743
2010-10-31,135.81067787353652
2010-11-30,138.01594291097751
2010-12-31,145.8265828652712
2011-01-31,140.55118698244564
2011-02-28,144.1269806234648
2011-03-31,149.9596315592216
2011-04-30,154.28395432390764
2011-05-31,149.32740230878107
2011-06-30,142.47844808458038
2011-07-31,148.66646504312968
2011-08-31,136.44334647657402
2011-09-30,109.78172953451228
2011-10-31,126.29649192796779
2011-11-30,121.73520640511433
2011-12-31,125.7741318291941
2012-01-31,134.46021537290233
2012-02-29,144.04641538973178
2012-03-31,138.38494598022507
2012-04-30,135.1009165537622
2012-05-31,118.31211564377936
2012-06-30,121.87086344293941
2012-07-31,117.98655217707415
2012-08-31,122.47168123048462
2012-09-30,122.51020475833568
2012-10-31,122.94402409784226
2012-11-30,122.75800754170301
2012-12-31,128.50056498557504
2013-01-31,130.82110869619677
2013-02-28,132.08625275995414
2013-03-31,127.5801473613191
2013-04-30,126.26451688774914
2013-05-31,122.71409523453511
2013-06-30,117.88462193058422
2013-07-31,115.87977828038456
2013-08-31,116.27352370242781
2013-09-30,115.70302003923754
2013-10-31,119.22512362954471
2013-11-30,115.28673450543651
2013-12-31,111.99606565504232
2014-01-31,105.87356668555243
2014-02-28,108.75424933018284
2014-03-31,112.19279637705668
2014-04-30,116.86810245725177
2014-05-31,112.66383317427815
2014-06-30,119.44919904615452
2014-07-31,119.51950032353864
2014-08-31,123.33397852430407
2014-09-30,133.5998364852087
2014-10-31,135.50366957917043
2014-11-30,134.16327402651984
2014-12-31,117.07874478883345
2015-01-31,119.6374030408528
2015-02-28,125.57359247469736
2015-03-31,118.66160741186434
2015-04-30,126.20035963305025
2015-05-31,119.74152209911388
2015-06-30,121.26617873410956
2015-07-31,110.01633805801359
2015-08-31,97.84941299601955
2015-09-30,91.46258212261262
2015-10-31,98.4648324792342
2015-11-30,92.75310517069126
2015-12-31,87.64475257296456
2016-01-31,87.00243722095567
2016-02-29,93.04950801802468
2016-03-31,97.29042004219211
2016-04-30,102.54291622855864
2016-05-31,101.47583192666991
2016-06-30,105.70395347859647
2016-07-31,109.82649680842589
2016-08-31,113.23466756764005
2016-09-30,109.531701974151
2016-10-31,113.20205284725515
2016-11-30,114.62124683353349
2016-12-31,120.13890123475024
2017-01-31,125.89713686479497
2017-02-28,124.30454721505366
2017-03-31,123.08769002596304
2017-04-30,124.60840282481843
2017-05-31,122.49716821448398
2017-06-30,117.89154629173268
2017-07-31,121.58508741921294
2017-08-31,126.62425459364324
2017-09-30,128.40212312647571
2017-10-31,131.3854038740758
2017-11-30,128.597499064012
2017-12-31,137.80425628434233
2018-01-31,150.98028346555986
2018-02-28,162.43786885330857
2018-03-31,154.1443326682394
2018-04-30,158.02518518201418
2018-05-31,153.60264910414665
2018-06-30,141.45799057108778
2018-07-31,149.1466483856114
2018-08-31,151.9099479849566
2018-09-30,156.07643322203754
2018-10-31,145.66564990944386
2018-11-30,140.54835252159114
2018-12-31,129.91619383109827
2019-01-31,138.23245305795027
2019-02-28,138.53500116004625
2019-03-31,138.2960395451891
2019-04-30,141.179013891646
2019-05-31,132.93923023253075
2019-06-30,141.0837742544451
2019-07-31,138.68994062027738
2019-08-31,130.99842318733573
2019-09-30,132.87893071562985
2019-10-31,130.20607421082843
2019-11-30,126.85765661055892
2019-12-31,128.6735320401978
2020-01-31,122.03404335316972
2020-02-29,106.62705831183203
2020-03-31,83.35631039241933
2020-04-30,98.86476500870799
2020-05-31,100.48341270328254
2020-06-30,103.21300397110087
2020-07-31,103.43522857074501
2020-08-31,97.70140745075118
2020-09-30,86.98630449856326
2020-10-31,85.18758517444354
2020-11-30,108.2155656708716
2020-12-31,114.50227952886631
2021-01-31,107.74165909116353
2021-02-28,114.4299192565299
2021-03-31,118.38045467603312
2021-04-30,117.55941683871227
2021-05-31,117.11815722587104
2021-06-30,117.65872300461477
2021-07-31,105.50083131430516
2021-08-31,113.68042731185382
2021-09-30,117.16790014024565
2021-10-31,115.72754973305288
2021-11-30,107.21788286536815
2021-12-31,113.28858358006354
2022-01-31,117.78486562276026
2022-02-28,119.94372864774077
2022-03-31,118.37655597447596
2022-04-30,119.69434663218239
2022-05-31,123.71198171767097
2022-06-30,114.0101049678947
2022-07-31,115.98357894993956
2022-08-31,124.27731861052908
2022-09-30,113.20997677254371
2022-10-31,119.42173114552017
2022-11-30,117.00682338646398
2022-12-31,116.09104195163977
2023-01-31,114.22867681626596
2023-02-28,106.16413670104876
2023-03-31,104.82931463981924
2023-04-30,100.66703948009273
2023-05-31,96.16926149288125
2023-06-30,102.85346942444534
2023-07-31,108.61881281668235
2023-08-31,107.15489438372654
2023-09-30,105.08166577967792
2023-10-31,102.22672381921825
2023-11-30,103.51178489985548
2023-12-31,104.37285608031799
2024-01-31,101.13468232421754
2024-02-29,100.70237151731925
2024-03-31,100.82065814677628
2024-04-30,100.14900407671546
2024-05-31,97.78915102393219
2024-06-30,95.12788560544901
2024-07-31,92.2198883892993
2024-08-31,95.51897933276999
2024-09-30,97.56270014678206
2024-10-31,93.40715943409805
2024-11-30,89.8212669877099
2024-12-31,87.05825951310072
2025-01-31,85.7893410074587
2025-02-28,81.08934682112962
2025-03-31,82.56301971333913
2025-04-30,79.32181137222094
2025-05-31,77.94929241885798
2025-06-30,78.118593869971
