Date,Value
2010-01-31,100.0
2010-02-28,103.26332917159363
2010-03-31,102.90704295149833
2010-04-30,96.80403581230385
2010-05-31,96.01361799131952
2010-06-30,106.99468854787777
2010-07-31,118.32715698413554
2010-08-31,129.70935090513078
2010-09-30,123.44260773722672
2010-10-31,118.32550360350704
2010-11-30,126.70541784801424
2010-12-31,127.90654175911132
2011-01-31,119.62822546243595
2011-02-28,118.12257756819898
2011-03-31,125.51255172612532
2011-04-30,136.28013151192
2011-05-31,132.95490405107898
2011-06-30,132.1816343209973
2011-07-31,143.41439552712086
2011-08-31,134.99459163851657
2011-09-30,130.80104856773295
2011-10-31,129.8888560918804
2011-11-30,140.50925905753485
2011-12-31,141.58173460673294
2012-01-31,149.44120402940348
2012-02-29,158.79116784859636
2012-03-31,177.37623024953854
2012-04-30,178.0674010871834
2012-05-31,172.19177944979643
2012-06-30,176.91874557024306
2012-07-31,188.12509673940065
2012-08-31,203.01256147201906
2012-09-30,214.06658427298035
2012-10-31,203.72275566087728
2012-11-30,217.0972856332506
2012-12-31,217.88557968156445
2013-01-31,230.18435507517728
2013-02-28,237.34414447911863
2013-03-31,277.1341664762291
2013-04-30,300.47892714018474
2013-05-31,313.7991731318758
2013-06-30,286.2327364567927
2013-07-31,293.0664785397902
2013-08-31,251.4133977774879
2013-09-30,279.10570515101296
2013-10-31,287.5645540689216
2013-11-30,267.3969195892343
2013-12-31,243.9957164225059
2014-01-31,246.08815438026
2014-02-28,253.2927861999712
2014-03-31,265.82153504822276
2014-04-30,276.16648463404584
2014-05-31,270.053662755154
2014-06-30,281.8443616096958
2014-07-31,282.94100827048834
2014-08-31,299.85240199323806
2014-09-30,316.54556012746764
2014-10-31,324.6535665872458
2014-11-30,325.79887183985494
2014-12-31,322.2474063168479
2015-01-31,345.1896356148273
2015-02-28,344.88865203929697
2015-03-31,323.7387282122842
2015-04-30,325.82872451102185
2015-05-31,314.23740191205
2015-06-30,318.0313523520061
2015-07-31,308.6592529371138
2015-08-31,291.23030294170184
2015-09-30,287.74482161124104
2015-10-31,295.33013841816756
2015-11-30,260.434517107241
2015-12-31,217.7987907536652
2016-01-31,230.55542992052204
2016-02-29,232.22983563206822
2016-03-31,245.69692166107396
2016-04-30,226.83280755667582
2016-05-31,230.53371347037324
2016-06-30,227.86154089974696
2016-07-31,254.76129889538845
2016-08-31,242.21601027139985
2016-09-30,234.41563751348394
2016-10-31,232.68480846099985
2016-11-30,228.77850276757889
2016-12-31,236.10329563345482
2017-01-31,244.21746165350865
2017-02-28,244.68479783275163
2017-03-31,255.73566532985654
2017-04-30,251.22016541113402
2017-05-31,248.4897641499701
2017-06-30,250.26563062158874
2017-07-31,243.28289339221544
2017-08-31,245.3404558159476
2017-09-30,255.950548162903
2017-10-31,255.7151816280577
2017-11-30,233.67526121613085
2017-12-31,242.51329085791068
2018-01-31,246.8222847403045
2018-02-28,238.12716863830084
2018-03-31,242.68377864380702
2018-04-30,245.27568113573196
2018-05-31,229.73035076076206
2018-06-30,208.42579271185454
2018-07-31,232.39957561574192
2018-08-31,238.54581938858922
2018-09-30,234.13951658607064
2018-10-31,224.0254783511063
2018-11-30,208.54430181269166
2018-12-31,196.7112509114275
2019-01-31,202.9001120078108
2019-02-28,210.3489960301397
2019-03-31,203.19449031541254
2019-04-30,211.44763892979145
2019-05-31,203.60392635408294
2019-06-30,229.7541641895993
2019-07-31,225.78272976090656
2019-08-31,234.25192021926992
2019-09-30,219.02771576565834
2019-10-31,218.00825407801617
2019-11-30,206.59884806972096
2019-12-31,211.37073757416275
2020-01-31,199.18404537938085
2020-02-29,190.41905634215303
2020-03-31,177.10997058921734
2020-04-30,183.56975025417103
2020-05-31,186.60700554578665
2020-06-30,182.1272295530298
2020-07-31,202.3942019520943
2020-08-31,203.14258562949524
2020-09-30,205.82397034180096
2020-10-31,213.7010010699313
2020-11-30,233.27187285196675
2020-12-31,294.1902352194765
2021-01-31,311.92661718970015
2021-02-28,278.238927981918
2021-03-31,270.8643122731249
2021-04-30,287.3037101570218
2021-05-31,342.4947604679261
2021-06-30,350.97016403563026
2021-07-31,358.79146253491285
2021-08-31,366.68444427715167
2021-09-30,351.8977290946814
2021-10-31,344.3073020605233
2021-11-30,374.90225001122684
2021-12-31,389.4007692430318
2022-01-31,357.8409716791412
2022-02-28,378.7205419017487
2022-03-31,393.0820181747393
2022-04-30,391.9664785993044
2022-05-31,362.07754747781536
2022-06-30,319.51586633915406
2022-07-31,352.52417586867233
2022-08-31,357.1263092189103
2022-09-30,380.0504042565565
2022-10-31,357.3366958023109
2022-11-30,378.96761515188985
2022-12-31,419.39239174817004
2023-01-31,443.4121757842143
2023-02-28,442.5106870447105
2023-03-31,516.5918066705459
2023-04-30,408.6529192600344
2023-05-31,461.6460342885425
2023-06-30,442.31579298420155
2023-07-31,506.6222130152318
2023-08-31,500.6042037068747
2023-09-30,446.60189233103756
2023-10-31,417.8845859488812
2023-11-30,411.8173851657875
2023-12-31,439.2355310525839
2024-01-31,418.0309978083195
2024-02-29,391.58037585880226
2024-03-31,406.421895375498
2024-04-30,392.4473079658705
2024-05-31,414.10046638866163
2024-06-30,440.68768262873175
2024-07-31,501.53980522136993
2024-08-31,523.7600785538274
2024-09-30,541.2747498778726
2024-10-31,628.4457039678421
2024-11-30,650.6276603635896
2024-12-31,657.2926906494721
2025-01-31,589.782275389486
2025-02-28,461.8801922337017
2025-03-31,432.6019446645346
2025-04-30,524.2542960747043
2025-05-31,532.64627686372
2025-06-30,498.72039835719744
2025-07-31,623.958863836712
