Date,Value
2010-01-31,100.0
2010-02-28,98.0436813897019
2010-03-31,104.4296315679738
2010-04-30,105.27926419138751
2010-05-31,109.07320913251357
2010-06-30,113.77100104337727
2010-07-31,123.85168255331473
2010-08-31,131.43705909110025
2010-09-30,126.58370123520821
2010-10-31,129.02098151268282
2010-11-30,122.80410475259673
2010-12-31,127.11804738426655
2011-01-31,126.2672060053941
2011-02-28,125.7683921771696
2011-03-31,127.67151101405348
2011-04-30,129.07452301594705
2011-05-31,128.5681911052975
2011-06-30,124.89398204092772
2011-07-31,130.37571345591877
2011-08-31,130.32300066966894
2011-09-30,114.87754924028053
2011-10-31,112.92497277021967
2011-11-30,115.51482976037855
2011-12-31,116.75932140708987
2012-01-31,120.39379215225875
2012-02-29,121.3344126710989
2012-03-31,122.89628069673194
2012-04-30,124.79753147874261
2012-05-31,119.05184233536434
2012-06-30,121.1490623670465
2012-07-31,129.18358456197393
2012-08-31,134.6979551812305
2012-09-30,145.2458882264602
2012-10-31,146.04094648531492
2012-11-30,144.07719304800852
2012-12-31,181.8332403268046
2013-01-31,183.26118923694818
2013-02-28,193.7671221395813
2013-03-31,210.37823928714533
2013-04-30,218.9050743633509
2013-05-31,236.05753949614302
2013-06-30,237.30262431891808
2013-07-31,277.8090014498517
2013-08-31,232.69871535422268
2013-09-30,224.52025033651393
2013-10-31,232.77557478521197
2013-11-30,220.05347182764044
2013-12-31,219.2246750664153
2014-01-31,217.05289927129692
2014-02-28,233.35993751898548
2014-03-31,240.14991396661455
2014-04-30,252.3092046246293
2014-05-31,253.23255123043964
2014-06-30,314.95870111302906
2014-07-31,335.07462930956586
2014-08-31,405.10055814384407
2014-09-30,413.0404093861737
2014-10-31,424.4174227294429
2014-11-30,430.47571230467224
2014-12-31,382.53655350242826
2015-01-31,397.55827835874885
2015-02-28,391.3766386743773
2015-03-31,325.4398631016152
2015-04-30,324.56182392855
2015-05-31,351.535879719608
2015-06-30,354.5824624552438
2015-07-31,318.4472057254847
2015-08-31,306.37744873571484
2015-09-30,310.73924426402465
2015-10-31,311.26342839738317
2015-11-30,278.41784600778306
2015-12-31,258.193135602488
2016-01-31,220.54180288642488
2016-02-29,239.61698831879806
2016-03-31,247.16077087141332
2016-04-30,243.85447787577465
2016-05-31,218.0726216442911
2016-06-30,208.4194517420303
2016-07-31,210.4171799814009
2016-08-31,206.4943074721119
2016-09-30,185.06508810325306
2016-10-31,179.08803405136243
2016-11-30,177.88753703081818
2016-12-31,178.743613061718
2017-01-31,183.3294319592346
2017-02-28,178.9776035133969
2017-03-31,163.59815649355525
2017-04-30,163.55263014705724
2017-05-31,159.79791468248118
2017-06-30,156.95127260846246
2017-07-31,152.64131783198957
2017-08-31,154.05720568982156
2017-09-30,155.3301646979439
2017-10-31,156.66548961455206
2017-11-30,153.94523763935126
2017-12-31,150.03898730525995
2018-01-31,151.9756575461154
2018-02-28,142.98002782352893
2018-03-31,140.385442619163
2018-04-30,143.85894651286333
2018-05-31,142.0972649457842
2018-06-30,132.7226375868023
2018-07-31,141.70859015163413
2018-08-31,144.9135741604022
2018-09-30,139.2482899069437
2018-10-31,137.84528660008283
2018-11-30,136.24064621756747
2018-12-31,128.81061176676783
2019-01-31,127.61781250378732
2019-02-28,127.3812044749717
2019-03-31,129.47434414125988
2019-04-30,128.24667250043515
2019-05-31,124.831492995929
2019-06-30,125.0158329161237
2019-07-31,124.66248434699385
2019-08-31,119.4274038982246
2019-09-30,119.66773640526762
2019-10-31,112.02251916215123
2019-11-30,114.35630870204984
2019-12-31,110.71499615517038
2020-01-31,110.43726436074937
2020-02-29,97.60770549269348
2020-03-31,81.98887736940415
2020-04-30,90.49141119483946
2020-05-31,93.23504828115489
2020-06-30,94.42344836483176
2020-07-31,90.43795402502366
2020-08-31,91.64915230252248
2020-09-30,91.33626333957008
2020-10-31,92.36251446073149
2020-11-30,101.46700916670044
2020-12-31,104.65264951474876
2021-01-31,105.72739302596479
2021-02-28,106.35174175655075
2021-03-31,114.60310971979794
2021-04-30,119.91621860169452
2021-05-31,130.70553054164694
2021-06-30,134.99676021390357
2021-07-31,128.28634717192452
2021-08-31,142.11211434222236
2021-09-30,149.60945687680095
2021-10-31,152.28260238345453
2021-11-30,144.06148753259805
2021-12-31,147.84270690350377
2022-01-31,143.64233155231386
2022-02-28,144.14519973385646
2022-03-31,134.8097893736807
2022-04-30,134.73470871896927
2022-05-31,133.76850458515977
2022-06-30,124.9098734538872
2022-07-31,121.61141749605558
2022-08-31,129.92038287239282
2022-09-30,123.79923848793418
2022-10-31,123.40039177274305
2022-11-30,119.2520852967711
2022-12-31,118.2514534067972
2023-01-31,123.5872994550189
2023-02-28,119.6155596414437
2023-03-31,118.2543731818001
2023-04-30,116.49189665044828
2023-05-31,123.98877925732342
2023-06-30,113.93047196402767
2023-07-31,114.78429179350036
2023-08-31,120.21214141870873
2023-09-30,115.20416719084758
2023-10-31,107.99882847458753
2023-11-30,109.29258098585848
2023-12-31,110.78722280606574
2024-01-31,113.23102694715068
2024-02-29,109.22943519209731
2024-03-31,109.46217961976939
2024-04-30,106.69901891210655
2024-05-31,103.17875041916705
2024-06-30,99.56191035822121
2024-07-31,96.64858817244554
2024-08-31,97.1304802794597
2024-09-30,102.74135375205616
2024-10-31,100.19247749963796
2024-11-30,97.79823061293025
2024-12-31,95.22350614917397
2025-01-31,90.0106274308886
2025-02-28,90.04083591096771
2025-03-31,85.9338826236906
2025-04-30,82.88701397620535
2025-05-31,80.09233621116756
2025-06-30,77.56345734850788
