Date,Value
2010-01-31,100.0
2010-02-28,103.98394580536365
2010-03-31,116.31469413810444
2010-04-30,108.4159137685031
2010-05-31,107.16759883808223
2010-06-30,113.77062856277995
2010-07-31,125.60474125558197
2010-08-31,139.95329798397375
2010-09-30,149.72818781082267
2010-10-31,146.16428795485172
2010-11-30,143.89626160025958
2010-12-31,149.52739607598747
2011-01-31,140.27402213050908
2011-02-28,146.99047836247587
2011-03-31,158.10700871026327
2011-04-30,157.8263233790427
2011-05-31,153.85258229065403
2011-06-30,150.76904806742732
2011-07-31,166.1899271654252
2011-08-31,153.32800947414557
2011-09-30,134.09664702513103
2011-10-31,136.87321122260877
2011-11-30,133.7836862338483
2011-12-31,140.1516491249699
2012-01-31,144.0992133554603
2012-02-29,162.6431907039845
2012-03-31,168.63129562336513
2012-04-30,173.97659410906616
2012-05-31,160.98565507672737
2012-06-30,169.4382930954746
2012-07-31,177.71816465077805
2012-08-31,176.28360590192463
2012-09-30,188.0854418887468
2012-10-31,181.49609615900627
2012-11-30,188.0723336348864
2012-12-31,198.30165695031747
2013-01-31,212.07926898538503
2013-02-28,226.8863085767221
2013-03-31,230.21784849994697
2013-04-30,235.18388892674392
2013-05-31,216.9482657257343
2013-06-30,204.9217259778378
2013-07-31,196.5889510050067
2013-08-31,176.2604707562307
2013-09-30,193.30921810943218
2013-10-31,205.19636028414556
2013-11-30,187.3591445637542
2013-12-31,173.3410222797456
2014-01-31,177.23437950430605
2014-02-28,181.48308851530828
2014-03-31,188.1189774973169
2014-04-30,194.88540612915077
2014-05-31,194.13486300378756
2014-06-30,207.64911653606143
2014-07-31,213.91021492154275
2014-08-31,226.69755528484242
2014-09-30,231.73176774934578
2014-10-31,229.16744559301216
2014-11-30,234.76179346341019
2014-12-31,220.41633474117964
2015-01-31,221.3920303999624
2015-02-28,217.76308829869134
2015-03-31,219.9020373559134
2015-04-30,207.3251015059402
2015-05-31,196.96808108727478
2015-06-30,191.4045372282478
2015-07-31,181.51487493708524
2015-08-31,182.0732784946244
2015-09-30,176.46256901657003
2015-10-31,181.8359864436998
2015-11-30,181.96607029272414
2015-12-31,168.13804843221783
2016-01-31,176.72643370428324
2016-02-29,180.69604203179023
2016-03-31,187.53989515243617
2016-04-30,176.60167071293478
2016-05-31,179.3680242353278
2016-06-30,176.34838375111207
2016-07-31,196.15641858311938
2016-08-31,197.8357030940633
2016-09-30,188.8718992874283
2016-10-31,182.57701845287167
2016-11-30,181.38745110784663
2016-12-31,187.85512781077932
2017-01-31,199.41185387349267
2017-02-28,204.5267569307752
2017-03-31,206.5428405306448
2017-04-30,203.00336025741888
2017-05-31,202.5028348773617
2017-06-30,208.55484974746
2017-07-31,202.71613893489007
2017-08-31,209.304828211083
2017-09-30,214.88393848695694
2017-10-31,225.39062535541902
2017-11-30,232.63445172188332
2017-12-31,237.40699576921216
2018-01-31,241.19684792766463
2018-02-28,243.5621810858057
2018-03-31,226.70129413664074
2018-04-30,218.44644201275733
2018-05-31,212.83343585324653
2018-06-30,212.14259332522752
2018-07-31,226.38654916707532
2018-08-31,225.7265915234878
2018-09-30,232.06562735377213
2018-10-31,222.427981371286
2018-11-30,220.30689864781633
2018-12-31,210.1882622075629
2019-01-31,221.8780241946922
2019-02-28,220.5326228415719
2019-03-31,214.8519437196767
2019-04-30,214.58841534463738
2019-05-31,210.57540700553966
2019-06-30,214.91695363494273
2019-07-31,206.75721289338122
2019-08-31,192.32930909245795
2019-09-30,191.65585208551803
2019-10-31,182.06980940053143
2019-11-30,190.2519141440812
2019-12-31,183.4411924365644
2020-01-31,171.25043322047614
2020-02-29,153.68924603264227
2020-03-31,115.59270639713472
2020-04-30,119.12745973057541
2020-05-31,126.30512715581892
2020-06-30,120.73717889357253
2020-07-31,112.24350135265173
2020-08-31,115.26443744547343
2020-09-30,107.99576140113902
2020-10-31,109.20679292151124
2020-11-30,139.16643681225213
2020-12-31,145.73060497268978
2021-01-31,152.02553925861417
2021-02-28,162.3426550870658
2021-03-31,173.62027028738117
2021-04-30,166.43444547594945
2021-05-31,161.82643970738192
2021-06-30,159.7848024778664
2021-07-31,145.81889769560453
2021-08-31,163.43416070809107
2021-09-30,162.4492554788279
2021-10-31,170.18363941605898
2021-11-30,163.06661449895236
2021-12-31,179.14035057097624
2022-01-31,188.08963674681715
2022-02-28,195.13183080929335
2022-03-31,193.62408371611238
2022-04-30,188.1721004635101
2022-05-31,186.0549084139675
2022-06-30,183.41886361753598
2022-07-31,181.5679120926275
2022-08-31,190.69447071691076
2022-09-30,184.63661650966958
2022-10-31,190.6360176014506
2022-11-30,189.8793033995208
2022-12-31,193.06846794583976
2023-01-31,194.25160962740614
2023-02-28,191.13766217049033
2023-03-31,181.65144543091677
2023-04-30,178.64201196492058
2023-05-31,186.1478873508107
2023-06-30,182.2831415038712
2023-07-31,186.34021129594777
2023-08-31,189.9979791706955
2023-09-30,182.73775116709302
2023-10-31,176.87554274695475
2023-11-30,172.73546523130386
2023-12-31,178.83352484175307
2024-01-31,165.6986963398967
2024-02-29,167.73621686624756
2024-03-31,168.60312286487132
2024-04-30,167.7537170163568
2024-05-31,168.9609932642308
2024-06-30,159.71570863331254
2024-07-31,162.30131733066673
2024-08-31,172.13910558531632
2024-09-30,184.40784184801277
2024-10-31,180.30767485882134
2024-11-30,179.9570266264202
2024-12-31,184.8884831984198
2025-01-31,189.65559953825993
2025-02-28,184.08220258736316
2025-03-31,187.5311477330045
2025-04-30,180.52125801091964
2025-05-31,177.62282413755977
2025-06-30,171.33982646537848
