Date,Value
2010-01-31,100.0
2010-02-28,110.66806469082124
2010-03-31,124.39335661027806
2010-04-30,110.74603197740367
2010-05-31,108.06431948623374
2010-06-30,117.55725019370841
2010-07-31,136.07213745697376
2010-08-31,142.44685940211596
2010-09-30,151.3431673441249
2010-10-31,154.54430350338052
2010-11-30,160.32496702075298
2010-12-31,151.87540861879523
2011-01-31,130.56562256273034
2011-02-28,132.90570026906883
2011-03-31,134.76614051927692
2011-04-30,140.7344878377335
2011-05-31,136.2293547216394
2011-06-30,122.79588756025777
2011-07-31,130.54895370514515
2011-08-31,127.02040022676329
2011-09-30,109.63256784224737
2011-10-31,109.19002770514112
2011-11-30,115.34563612868635
2011-12-31,122.04617198473709
2012-01-31,132.04874749162025
2012-02-29,140.9723291574259
2012-03-31,147.2903615434739
2012-04-30,157.901251958587
2012-05-31,143.76345105002179
2012-06-30,147.57291744739527
2012-07-31,148.82450490646914
2012-08-31,152.79122729476563
2012-09-30,163.50818913135106
2012-10-31,170.25879223439085
2012-11-30,171.00081735689847
2012-12-31,185.74356274733162
2013-01-31,202.1375288249489
2013-02-28,221.91738803337472
2013-03-31,234.76670423697777
2013-04-30,237.0540820810191
2013-05-31,239.9491338832663
2013-06-30,204.70612994238695
2013-07-31,193.8977621449485
2013-08-31,168.1026014470327
2013-09-30,188.7438117043439
2013-10-31,201.3772972872304
2013-11-30,189.0739502600179
2013-12-31,175.28563573659451
2014-01-31,169.01346953802997
2014-02-28,176.06017465933033
2014-03-31,186.73643936303637
2014-04-30,187.36481140730788
2014-05-31,198.60303689132766
2014-06-30,206.52287967700312
2014-07-31,210.77361382347428
2014-08-31,225.30790181541622
2014-09-30,222.55049648332297
2014-10-31,225.52843303629734
2014-11-30,227.23951044776328
2014-12-31,216.31145015661235
2015-01-31,228.21502267576255
2015-02-28,227.99685167523575
2015-03-31,212.3978990367378
2015-04-30,220.14184301192486
2015-05-31,221.87321311257548
2015-06-30,225.12836276778864
2015-07-31,222.9538855027122
2015-08-31,220.5065414121568
2015-09-30,215.20261547354886
2015-10-31,220.05669558749102
2015-11-30,222.8331319468052
2015-12-31,217.95245371351254
2016-01-31,215.3202449138709
2016-02-29,226.20016460030405
2016-03-31,241.07523763309322
2016-04-30,240.63423960310516
2016-05-31,252.65343839313402
2016-06-30,265.21624646851785
2016-07-31,270.84081431392406
2016-08-31,288.4921434817013
2016-09-30,266.47901668482325
2016-10-31,276.270825967082
2016-11-30,275.0724470916837
2016-12-31,270.29485019523145
2017-01-31,266.3546061150759
2017-02-28,253.9346598609585
2017-03-31,256.5498250328077
2017-04-30,253.3776268436664
2017-05-31,254.82268910927849
2017-06-30,262.19912763024496
2017-07-31,262.73489045647716
2017-08-31,273.2918894539045
2017-09-30,284.2063829758769
2017-10-31,293.54829604146806
2017-11-30,292.3298487629983
2017-12-31,299.15782671414775
2018-01-31,303.029247122007
2018-02-28,304.48549274368366
2018-03-31,307.0866752329066
2018-04-30,308.29296298701274
2018-05-31,301.69162645437115
2018-06-30,274.16578670367534
2018-07-31,293.08694823068237
2018-08-31,286.05312330182227
2018-09-30,292.8126023574343
2018-10-31,278.85556529821224
2018-11-30,284.0919809157209
2018-12-31,274.97759861651235
2019-01-31,290.69568498593827
2019-02-28,290.82333233925084
2019-03-31,289.03396091973394
2019-04-30,295.5253275525639
2019-05-31,286.97417615241415
2019-06-30,305.2446355102001
2019-07-31,301.51237498900736
2019-08-31,292.8562278852075
2019-09-30,288.347907784169
2019-10-31,281.51703278888306
2019-11-30,281.08099903236774
2019-12-31,277.23334041104465
2020-01-31,260.6774317286313
2020-02-29,230.93723332486144
2020-03-31,197.7607768070687
2020-04-30,237.04036215401914
2020-05-31,237.0347132662896
2020-06-30,234.26119095489884
2020-07-31,224.026501469918
2020-08-31,223.59147746451393
2020-09-30,212.5549687197181
2020-10-31,193.66928564493358
2020-11-30,230.07482334756764
2020-12-31,224.5003455308563
2021-01-31,224.07891518530354
2021-02-28,234.128401369445
2021-03-31,258.16993248476206
2021-04-30,242.61881364281444
2021-05-31,247.35153876039763
2021-06-30,248.1758957879494
2021-07-31,239.24109152539978
2021-08-31,257.84742338135464
